category,key,value
setup,apply_picked_count,0
setup,realreg_code_count,0
tr,total,62
tr,opt10001,18
tr,opt10081,14
tr,opt10080,14
tr,ctx_miss,0
warmup,ready_count,14
warmup,bars_insufficient,0
signal,entry,0
signal,add,0
order,buy_live,3
order,buy_sim,0
order,sell_live,12
order,sell_sim,28
budget,block_count,0
budget,spent,2590282
budget,limit,7000000
per_code,003520:warmup_ready,1
per_code,003520:SELL_ATTEMPT,6
per_code,005870:warmup_ready,2
per_code,005870:SELL_ATTEMPT,1
per_code,005880:warmup_ready,1
per_code,005880:SELL_ATTEMPT,5
per_code,010820:warmup_ready,1
per_code,010820:SELL_ATTEMPT,5
per_code,047770:warmup_ready,1
per_code,047770:SELL_ATTEMPT,5
per_code,049630:warmup_ready,2
per_code,049630:SELL_ATTEMPT,5
per_code,049630:BUY_ATTEMPT,1
per_code,200470:warmup_ready,1
per_code,200470:SELL_ATTEMPT,4
per_code,336260:warmup_ready,1
per_code,336260:SELL_ATTEMPT,4
per_code,402490:warmup_ready,1
per_code,402490:SELL_ATTEMPT,3
per_code,0015G0:warmup_ready,1
per_code,0015G0:BUY_ATTEMPT,1
per_code,0015G0:SELL_ATTEMPT,1
per_code,003000:warmup_ready,1
per_code,034230:warmup_ready,1
per_code,034230:BUY_ATTEMPT,1
per_code,034230:SELL_ATTEMPT,1
